Genesis	Ge	1	1	1	En el principio creó Dios los cielos y la tierra.
Genesis	Ge	1	1	2	Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la faz del abismo, y el Espíritu de Dios se movía sobre la faz de las aguas.
